"entry_time","temperature","ph","conductivity","moisture","salinity","tds"
"2024-05-11 14:49:20.184",215,76,1086,532,0,0
"2024-05-11 14:50:20.201",215,76,1086,532,0,0
"2024-05-11 14:51:20.218",215,76,1087,554,0,0
"2024-05-11 14:52:20.235",215,76,1086,556,0,0
"2024-05-11 14:53:20.252",215,76,1087,554,0,0
"2024-05-11 14:54:20.27",215,76,1086,562,0,0
"2024-05-11 14:55:20.288",215,76,1087,546,0,0
"2024-05-11 14:56:20.304",215,76,1086,552,0,0
"2024-05-11 14:57:20.321",215,76,1086,546,0,0
"2024-05-11 14:58:20.339",215,76,1086,534,0,0
"2024-05-11 14:59:20.356",215,76,1086,570,0,0
"2024-05-11 15:00:20.372",215,76,1087,556,0,0
"2024-05-11 15:01:20.39",215,76,1086,562,0,0
"2024-05-11 15:02:20.412",215,75,1086,560,0,0
"2024-05-11 15:03:20.424",215,75,1086,554,0,0
"2024-05-11 15:04:20.441",215,76,1086,536,0,0
"2024-05-11 15:05:20.459",215,75,1086,552,0,0
"2024-05-11 15:06:20.475",215,75,1086,556,0,0
"2024-05-11 15:07:20.492",215,75,1086,560,0,0
"2024-05-11 15:08:20.51",215,76,1086,534,0,0
"2024-05-11 15:09:20.527",215,76,1086,534,0,0
"2024-05-11 15:10:20.544",215,75,1086,574,0,0
"2024-05-11 15:11:20.562",215,75,1086,552,0,0
"2024-05-11 15:12:20.579",215,76,1085,546,0,0
"2024-05-11 15:13:20.595",215,75,1086,534,0,0
"2024-05-11 15:14:20.613",215,75,1085,536,0,0
"2024-05-11 15:15:20.63",215,75,1086,552,0,0
"2024-05-11 15:16:20.648",215,75,1085,554,0,0
"2024-05-11 15:17:20.665",215,75,1085,570,0,0
"2024-05-11 15:18:20.682",214,75,1086,578,0,0
"2024-05-11 15:19:20.699",215,75,1085,540,0,0
"2024-05-11 15:20:20.716",215,75,1086,554,0,0
"2024-05-11 15:21:20.733",215,75,1085,570,0,0
"2024-05-11 15:22:20.75",215,75,1086,554,0,0
"2024-05-11 15:23:20.767",215,75,1085,554,0,0
"2024-05-11 15:24:20.785",215,75,1085,546,0,0
"2024-05-11 15:25:20.802",215,75,1085,558,0,0
"2024-05-11 15:26:20.818",215,75,1085,556,0,0
"2024-05-11 15:27:20.836",214,75,1085,552,0,0
"2024-05-11 15:28:20.854",215,75,1085,578,0,0
"2024-05-11 15:29:20.87",214,75,1085,536,0,0
"2024-05-11 15:30:20.893",214,75,1085,546,0,0
"2024-05-11 15:31:20.904",214,75,1085,554,0,0
"2024-05-11 15:32:20.921",214,75,1085,607,0,0
"2024-05-11 15:33:20.939",214,75,1085,570,0,0
"2024-05-11 15:34:20.956",214,75,1086,546,0,0
"2024-05-11 15:35:20.974",214,75,1085,562,0,0
"2024-05-11 15:36:20.991",214,76,1085,554,0,0
"2024-05-11 15:37:21.008",214,76,1085,556,0,0
"2024-05-11 15:38:21.025",214,76,1085,534,0,0
"2024-05-11 15:39:21.042",214,76,1085,534,0,0
"2024-05-11 15:40:21.06",214,76,1085,534,0,0
"2024-05-11 15:41:21.076",214,76,1085,546,0,0
"2024-05-11 15:42:21.093",214,76,1084,532,0,0
"2024-05-11 15:43:21.11",214,76,1085,558,0,0
"2024-05-11 15:44:21.128",214,76,1085,532,0,0
"2024-05-11 15:45:21.145",214,76,1085,546,0,0
"2024-05-11 15:46:21.161",214,75,1084,552,0,0
"2024-05-11 15:47:21.18",214,75,1085,554,0,0
"2024-05-11 15:48:21.196",214,75,1085,560,0,0
"2024-05-11 15:49:21.213",214,75,1085,613,0,0
"2024-05-11 15:50:21.231",214,75,1084,560,0,0
"2024-05-11 15:51:21.249",214,75,1084,532,0,0
"2024-05-11 15:52:21.268",214,75,1085,534,0,0
"2024-05-11 15:53:21.282",214,75,1084,554,0,0
"2024-05-11 15:54:21.3",214,75,1084,534,0,0
"2024-05-11 15:55:21.317",214,75,1085,532,0,0
"2024-05-11 15:56:21.333",214,75,1085,552,0,0
"2024-05-11 15:57:21.351",213,75,1083,544,0,0
"2024-05-11 15:58:21.368",214,75,1085,530,0,0
"2024-05-11 15:59:21.385",214,75,1084,536,0,0
"2024-05-11 16:00:21.403",214,75,1084,550,0,0
"2024-05-11 16:01:21.42",214,75,1084,534,0,0
"2024-05-11 16:02:21.437",214,75,1085,544,0,0
"2024-05-11 16:03:21.453",214,75,1082,550,0,0
"2024-05-11 16:04:21.471",213,75,1083,578,0,0
"2024-05-11 16:05:21.493",213,75,1084,554,0,0
"2024-05-11 16:06:21.506",213,75,1083,566,0,0
"2024-05-11 16:07:21.522",213,75,1083,554,0,0
"2024-05-11 16:08:21.54",213,75,1083,554,0,0
"2024-05-11 16:09:21.557",214,75,1083,554,0,0
"2024-05-11 16:10:21.574",213,75,1082,546,0,0
"2024-05-11 16:11:21.591",213,75,1084,556,0,0
"2024-05-11 16:12:21.609",213,75,1083,562,0,0
"2024-05-11 16:13:21.626",213,75,1082,554,0,0
"2024-05-11 16:14:21.643",213,75,1083,546,0,0
"2024-05-11 16:15:21.659",213,75,1083,556,0,0
"2024-05-11 16:16:21.677",213,75,1082,552,0,0
"2024-05-11 16:17:21.695",213,75,1084,532,0,0
"2024-05-11 16:18:21.712",213,75,1082,534,0,0
"2024-05-11 16:19:21.729",213,75,1082,554,0,0
"2024-05-11 16:20:21.746",213,75,1082,558,0,0
"2024-05-11 16:21:21.763",213,75,1083,534,0,0
"2024-05-11 16:22:21.78",213,75,1083,534,0,0
"2024-05-11 16:23:21.797",213,75,1082,556,0,0
"2024-05-11 16:24:21.814",213,75,1083,534,0,0
"2024-05-11 16:25:21.832",213,75,1084,546,0,0
"2024-05-11 16:26:21.849",213,75,1082,534,0,0
"2024-05-11 16:27:21.866",213,75,1084,552,0,0
"2024-05-11 16:28:21.884",213,75,1084,534,0,0
"2024-05-11 16:29:21.899",213,75,1084,532,0,0
"2024-05-11 16:30:21.919",213,75,1083,532,0,0
"2024-05-11 16:31:21.935",213,75,1083,546,0,0
"2024-05-11 16:32:21.956",213,75,1083,546,0,0
"2024-05-11 16:33:21.98",213,75,1085,556,0,0
"2024-05-11 16:34:21.986",213,75,1084,534,0,0
"2024-05-11 16:35:22.003",213,75,1085,556,0,0
"2024-05-11 16:36:22.02",213,75,1084,554,0,0
"2024-05-11 16:37:22.038",213,75,1084,552,0,0
"2024-05-11 16:38:22.054",213,75,1085,554,0,0
"2024-05-11 16:39:22.072",213,75,1085,552,0,0
"2024-05-11 16:40:22.09",214,75,1085,558,0,0
"2024-05-11 16:41:22.106",213,75,1085,558,0,0
"2024-05-11 16:42:22.123",214,75,1085,554,0,0
"2024-05-11 16:43:22.14",213,75,1086,534,0,0
"2024-05-11 16:44:22.157",214,75,1086,552,0,0
"2024-05-11 16:45:22.175",214,75,1086,544,0,0
"2024-05-11 16:46:22.191",214,75,1086,570,0,0
"2024-05-11 16:47:22.209",214,75,1086,554,0,0
"2024-05-11 16:48:22.227",214,75,1086,578,0,0
